Item #,Quantity On Hand,Item,Item Description,,Color,Size,Date of Last Use
CUP1550   ,137,FLASH DRIVE,"2GB, CREDIT CARD STYLE, FEDEXCUP",Donations,WHITE,2GB,9/25/14
CUP1744   ,40,GIFT SACK # 2,"INCLUDES COTTON CINCHBAG, STAINLESS TUMBLER, CAP, USB DRIVE, LIP BALM, EGRIP, AND TOWEL",Donations,,,7/19/16
CUP1970   ,10,HAT,AHEAD; SANDWICH,Donations,NAVY/KHAKI ,,10/4/12
CUP1971   ,12,HAT,AHEAD; SANDWICH; THE PRESIDENTS CUP,Donations,TAUPE/KHAKI ,,10/4/12
CUP1784   ,27,IPAD CASE,BARRINGTON LEATHER: FEDEXCUP,Donations,,,9/25/14
CUP2011   ,4,JACKET,BLACK W/DOTS; NIKE GOLF; PEBBLE BEACH LOGO L/C - FEDEX BACK YOKE,Donations,BLACK W/DOTS,SM,11/19/12
CUP2012   ,1,JACKET,BLACK W/DOTS; NIKE GOLF; PEBBLE BEACH LOGO L/C - FEDEX BACK YOKE,Donations,BLACK W/DOTS,MD,11/19/12
CUP2123   ,3,JACKET,LADIES EP PRO: LIME GREEN: PEBBLE BEACH/FEDEX: LG,Donations,LIME GREEN,LG,10/24/13
CUP2134   ,6,JACKET,LADIES EP PRO: PINK: PEBBLE BEACH/FEDEX: XL,Donations,PINK,XL,10/24/13
CUP2135   ,2,JACKET,LADIES EP PRO: PINK: PEBBLE BEACH/FEDEX: 2XL,Donations,PINK,2XL,10/24/13
CUP1994   ,57,LUGGAGE TAG,PURPLE; WHITE & PLATINUM FEDEX LOGO,Donations,PURPLE,,7/11/13
CUP1443   ,19,PEDOMETER,"IN GIFT TIN, PGA/FEDEXCUP",Donations,,,9/13/13
CUP1265   ,19,PIN FLAG,"PGA/FEDEX CUP, NO TUBES, FOR FIRST TEE EVENTS",Donations,,,2/8/16
CUP1632   ,5,POLO,"GREG NORMAN, FEDEXCUP",Donations,BLACK,MD,2/12/16
CUP1633   ,19,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,BLACK,LG,1/31/14
CUP1634   ,14,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,BLACK,XL,4/20/15
CUP1635   ,11,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,BLACK,2XL,4/17/14
CUP1642   ,8,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,FROST,MD,2/8/16
CUP1643   ,23,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,FROST,LG,8/9/16
CUP1644   ,24,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,FROST,XL,1/14/15
CUP1645   ,21,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,FROST,2XL,5/19/15
CUP1653   ,20,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",Donations,CARDINAL,LG,6/26/13
CUP1654   ,27,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",Donations,CARDINAL,XL,3/6/12
